origin-time-utc,mag,mag-type,latitude,longitude,depth(km),region,a/m,time-updated,kml
07/02/2023 12:16,3.5,MLv,37.7747° N,37.4963° E,84,Caglayancerit-Kahramanmaras,A,07/02/2023 12:20,Stations Event
07/02/2023 12:02,3.3,MLv,36.2659° N,35.8630° E,0,iskenderun-Hatay,A,07/02/2023 12:05,Stations Event
07/02/2023 11:55,4.1,MLv,37.9523° N,37.5275° E,0,Nurhak-Kahramanmaras,A,07/02/2023 11:59,Stations Event
07/02/2023 11:49,3.8,MLv,37.1503° N,36.9745° E,3,Nurdagi-Gaziantep,A,07/02/2023 11:53,Stations Event
07/02/2023 11:24,3.8,MLv,38.1033° N,37.7866° E,0,Dogansehir-Malatya,A,07/02/2023 11:28,Stations Event
07/02/2023 11:23,3.8,MLv,36.1161° N,35.8973° E,5,Turkey,M,08/02/2023 8:41,Stations Event
07/02/2023 11:20,3.7,MLv,38.9630° N,37.9376° E,0,Hekimhan-Malatya,A,07/02/2023 11:24,Stations Event
07/02/2023 11:01,4.1,MLv,38.0447° N,37.4844° E,0,Nurhak-Kahramanmaras,A,07/02/2023 11:05,Stations Event
07/02/2023 10:56,4.5,MLv,37.9010° N,36.6925° E,0,Merkez-Kahramanmaras,A,07/02/2023 11:01,Stations Event
07/02/2023 10:53,4.5,MLv,40.2722° N,23.5510° E,6,Greece,A,07/02/2023 12:08,Stations Event
07/02/2023 10:41,3.9,MLv,38.0942° N,36.5891° E,0,Goksun-Kahramanmaras,A,07/02/2023 10:45,Stations Event
07/02/2023 10:37,4.1,MLv,36.0943° N,35.8947° E,5,Turkey,A,07/02/2023 10:41,Stations Event
07/02/2023 10:27,4.8,MLv,38.2782° N,38.2269° E,16,Yesilyurt-Malatya,A,07/02/2023 10:31,Stations Event
07/02/2023 10:18,5,mb,38.1100° N,38.5610° E,10,Sincik-Adiyaman,M,07/02/2023 10:44,Stations Event
07/02/2023 10:15,3.9,MLv,38.1464° N,38.5199° E,0,Sincik-Adiyaman,A,07/02/2023 10:19,Stations Event
07/02/2023 10:07,4.2,MLv,37.4350° N,37.2794° E,0,Pazarcik-Kahramanmaras,A,07/02/2023 10:11,Stations Event
07/02/2023 10:03,3.5,MLv,38.0447° N,36.5671° E,0,Goksun-Kahramanmaras,A,07/02/2023 10:06,Stations Event
